onset	duration	trial_index	typeOfSaccade	cueShownAtLeft	intraEnd	isTutorial	isSaccadeExperiment
869.923		229	prosaccade	False	2447.0	False	True
872.86		230	prosaccade	False	2101.0	False	True
876.257		231	prosaccade	True	2545.0	False	True
879.155		232	prosaccade	False	2047.0	False	True
882.294		233	prosaccade	False	2287.0	False	True
885.243		234	prosaccade	True	2098.0	False	True
888.535		235	prosaccade	False	2427.0	False	True
891.712		236	prosaccade	True	2332.0	False	True
894.878		237	prosaccade	True	2307.0	False	True
898.18		238	prosaccade	False	2477.0	False	True
901.252		239	prosaccade	False	2211.0	False	True
904.402		240	prosaccade	True	2301.0	False	True
907.659		241	prosaccade	False	2420.0	False	True
910.834		242	prosaccade	False	2327.0	False	True
914.26		243	prosaccade	False	2581.0	False	True
917.185		244	prosaccade	True	2060.0	False	True
920.415		245	prosaccade	False	2380.0	False	True
923.861		246	prosaccade	True	2583.0	False	True
926.9		247					
929.939		248	antisaccade	False	2177.0	False	True
933.041		249	antisaccade	False	2242.0	False	True
936.227		250	antisaccade	False	2343.0	False	True
939.165		251	antisaccade	True	2087.0	False	True
942.407		252	antisaccade	True	2378.0	False	True
945.719		253	antisaccade	False	2467.0	False	True
948.998		254	antisaccade	False	2422.0	False	True
952.354		255	antisaccade	True	2494.0	False	True
955.561		256	antisaccade	True	2351.0	False	True
958.635		257	antisaccade	True	2245.0	False	True
961.691		258	antisaccade	False	2186.0	False	True
965.053		259	antisaccade	False	2523.0	False	True
968.206		260	antisaccade	False	2303.0	False	True
971.097		261	antisaccade	True	2035.0	False	True
974.151		262	antisaccade	False	2191.0	False	True
977.16		263	antisaccade	False	2165.0	False	True
