,trials,presented_point,time_between_samples_mean,time_between_samples_std,sampling_rate_mean,sampling_rate_std,last_time_sample,horizontal_errors_pxs_mean,horizontal_errors_pxs_std,vertical_errors_pxs_mean,vertical_errors_pxs_std,total_errors_pxs_mean,total_errors_pxs_std
390,44.0,"(541.0, 941.0)",46.45,14.051601332232565,23.440899701540953,6.573900725953264,929,118.73333333333333,135.74950787715176,316.8666666666667,86.21590469410052,352.30340758109986,127.45787149778337
391,44.0,"(1379.0, 131.0)",54.470588235294116,12.28158663374625,19.43132073294296,5.2073815182928795,926,193.76923076923077,117.67697235434471,105.46153846153847,102.30318093002958,224.1356008886912,150.816756206752
392,44.0,"(541.0, 131.0)",48.78947368421053,12.31848823332517,21.801939021642692,5.362126745926241,927,173.85714285714286,192.89370023885365,46.642857142857146,36.906459254361934,195.57248997632368,180.89590856591906
393,44.0,"(960.0, 536.0)",54.411764705882355,10.699416276158201,19.02117791741957,3.3571132030368425,925,53.416666666666664,41.63423738009647,323.8333333333333,36.904907833812864,330.8630283723232,36.69341161973414
394,44.0,"(1379.0, 536.0)",49.666666666666664,15.609825965290794,22.23238026710093,6.870555098927171,894,130.46153846153845,104.65005081744908,152.84615384615384,54.617334743081976,204.27483732528438,112.19909531531324
395,44.0,"(1379.0, 941.0)",45.3,11.92937550754439,23.999935019233853,7.521495071653163,906,57.142857142857146,34.50643240833541,338.7142857142857,38.1190401832181,345.03760538526024,39.81807932879301
396,45.0,"(960.0, 941.0)",47.21052631578947,16.690933395641135,31.0835017369585,40.19102962362006,897,39.07142857142857,23.483928503535854,399.0,153.91834569945567,402.4384536814327,151.701086251635
397,45.0,"(541.0, 131.0)",50.666666666666664,16.431676725154983,22.04227714257918,7.648600530011527,912,116.0,136.0073527424161,139.25,202.0128399384554,187.7761495146506,238.52435446606196
398,45.0,"(960.0, 131.0)",46.1,11.978731151503485,23.414799350705586,6.954065821932482,922,104.53333333333333,139.67861524068584,71.13333333333334,38.42024929064822,137.46823652213078,134.44658399340426
399,45.0,"(1379.0, 941.0)",56.75,13.012013679673105,18.356495140306084,3.2435294760857096,908,127.5,215.11721610941945,413.1666666666667,219.55327118694655,446.3126567971265,286.78739927460265
400,45.0,"(541.0, 941.0)",43.333333333333336,12.52552948537062,25.073678193742417,7.156998818124289,910,104.92857142857143,116.50779513204517,136.21428571428572,45.08591571564636,181.4455823967525,110.67358982994163
401,45.0,"(1379.0, 131.0)",45.45,9.265392598265871,23.05125717309345,5.248967966254509,909,167.78571428571428,71.25625643852372,94.57142857142857,69.57597521077669,197.61561930782653,89.23081549641691
